user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy,answer_similarity,answer_correctness
สินเชื่อธุรกิจเพื่อการเปลี่ยนผ่านสู่ความยั่งยืน (Krungsri SME Transition Loan) ออกแบบมาเพื่อสนับสนุนธุรกิจในลักษณะใดบ้าง พร้อมยกตัวอย่าง?,['ผลิตภัณฑ์ใหม่ของธนาคารมุ่งเน้นกลุ่มลูกค้า SME ที่ต้องการปรับตัวสู่ธุรกิจสีเขียว โดยเรามี Krungsri SME Transition Loan หรือสินเชื่อธุรกิจเพื่อการเปลี่ยนผ่านสู่ความยั่งยืน เป็นกลไกสำคัญในการสนับสนุนเงินทุน ลูกค้าสามารถนำไปใช้กับโครงการต่างๆ ที่ช่วยลดการปล่อยก๊าซเรือนกระจก ประหยัดพลังงาน หรือบริหารจัดการด้านสิ่งแวดล้อมได้ดีขึ้น ทั้งนี้ โครงการที่เข้าข่ายได้รับการพิจารณา ได้แก่ การปรับปรุงอาคารหรือโรงงานเพื่อประหยัดพลังงาน การลงทุนด้านพลังงานทดแทน ตลอดจนการลงทุนในระบบบำบัดน้ำเสีย ซึ่งสอดคล้องกับแนวทาง ESG ของธนาคาร'],"สินเชื่อธุรกิจเพื่อการเปลี่ยนผ่านสู่ความยั่งยืน (Krungsri SME Transition Loan) ออกแบบมาเพื่อสนับสนุนธุรกิจที่ต้องการลงทุนในโครงการที่มีวัตถุประสงค์ในการบริหารจัดการด้านสิ่งแวดล้อม, การประหยัดพลังงาน และลดการปล่อยก๊าซเรือนกระจก. ตัวอย่างของโครงการที่สามารถขอสินเชื่อนี้ได้ เช่น การลงทุนในระบบบำบัดน้ำเสีย, การสร้างหรือปรับปรุงอาคารหรือโรงงานเพื่อประหยัดพลังงาน, และการลงทุนด้านพลังงานทดแทน.",ออกแบบมาเพื่อสนับสนุนธุรกิจที่ต้องการลงทุนในโครงการที่มีวัตถุประสงค์เพื่อบริหารจัดการด้านสิ่งแวดล้อม การประหยัดพลังงาน และลดการปล่อยก๊าซเรือนกระจก ตัวอย่างเช่น การลงทุนในระบบบำบัดน้ำเสีย การปรับปรุงอาคารหรือโรงงานเพื่อประหยัดพลังงาน และการลงทุนด้านพลังงานทดแทน,0.9999999999,1.0,1.0,0.7409255972229624,0.8560673145982177,0.9640168286495544
โครงการ 'คุณสู้ เราช่วย' ของธนาคาร มีวัตถุประสงค์ในการจัดตั้งขึ้นเพื่ออะไร และมุ่งช่วยเหลือลูกค้ากลุ่มใดเป็นหลัก?,"[""เพื่อตอบสนองต่อนโยบายของกระทรวงการคลัง ธนาคารแห่งประเทศไทย สมาคมธนาคารไทย และสมาคมสถาบันการเงินของรัฐ ที่ได้ร่วมกันแถลงข่าวเมื่อเดือนธันวาคม พ.ศ. 2567 ทางธนาคารได้เข้าร่วมโครงการ 'คุณสู้ เราช่วย' อย่างเต็มรูปแบบ โดยเตรียมงบประมาณและมาตรการเพื่อบรรเทาภาระทางการเงิน เป้าหมายหลักคือการให้ความช่วยเหลือแก่ผู้ประกอบการธุรกิจขนาดกลางและขนาดย่อม (SME) และลูกหนี้รายย่อย ที่กำลังเผชิญปัญหาในการชำระหนี้ ให้สามารถเดินหน้าต่อไปได้และสนับสนุนให้แก้ไขปัญหาหนี้ครัวเรือนอย่างยั่งยืน ภาพรวมทั้งระบบคาดว่าจะครอบคลุมภาระหนี้ประมาณ 890 พันล้านบาท จากลูกหนี้ 1.9 ล้านราย (2.1 ล้านบัญชี)""]","โครงการ ""คุณสู้ เราช่วย"" เปิดตัวในเดือนธันวาคม พ.ศ. 2567 โดยร่วมมือระหว่างกระทรวงการคลัง, ธนาคารแห่งประเทศไทย, สมาคมธนาคารไทย, และสมาคมสถาบันการเงินของรัฐ เพื่อให้ความช่วยเหลือแก่ลูกหนี้รายย่อยและผู้ประกอบการธุรกิจขนาดกลางและขนาดย่อมที่เผชิญปัญหาในการชำระหนี้ โดยมีเป้าหมายเพื่อบรรเทาภาระทางการเงินของกลุ่มลูกหนี้ดังกล่าว และสนับสนุนให้สามารถแก้ไขปัญหาหนี้ครัวเรือนอย่างยั่งยืน โครงการนี้ตั้งเป้าช่วยเหลือลูกหนี้จำนวน 2.1 ล้านบัญชี คิดเป็นลูกหนี้จำนวน 1.9 ล้านราย และครอบคลุมภาระหนี้รวมประมาณ 890 พันล้านบาท",มีวัตถุประสงค์เพื่อบรรเทาภาระทางการเงินและสนับสนุนให้สามารถแก้ไขปัญหาหนี้ครัวเรือนได้อย่างยั่งยืน โดยมุ่งช่วยเหลือลูกหนี้รายย่อยและผู้ประกอบการธุรกิจขนาดกลางและขนาดย่อม (SME) ที่เผชิญปัญหาในการชำระหนี้,0.9999999999,1.0,0.9,0.9542575965480818,0.7347522508295721,0.7130998274132753
ในการก้าวเข้าสู่แผนธุรกิจระยะกลางฉบับใหม่ (MTBP) ปี 2567-2569 ธนาคารตั้งเป้าหมายวิสัยทัศน์ไว้อย่างไร และมีการตั้งกลุ่มงานใหม่ใดขึ้นมารองรับ?,"[""ในการประชุมผู้ถือหุ้นประจำปี ผู้บริหารได้กล่าวถึงทิศทางของ Medium-Term Business Plan (MTBP) หรือแผนธุรกิจระยะกลางฉบับใหม่สำหรับปี 2567-2569 ว่า ธนาคารจะยึดมั่นในแนวทางปฏิบัติที่ดี (Best Practice) และตั้งเป้าหมายวิสัยทัศน์ไว้ที่การเป็น 'ธนาคารชั้นนำแห่งภูมิภาคเพื่อความยั่งยืน' นอกจากนี้ เพื่อให้การดำเนินการเชิงกลยุทธ์มีประสิทธิภาพสูงสุดและสนับสนุนเป้าหมายการขยายตัวในระดับภูมิภาค จึงได้ประกาศปรับโครงสร้างองค์กร โดยจัดตั้งกลุ่มงานธุรกิจอาเซียน (ASEAN Business Group) ขึ้นมาดูแลงานด้านนี้โดยเฉพาะ""]","ในแผนธุรกิจระยะกลาง (Medium-Term Business Plan: MTBP) ปี 2567-2569 กรุงศรีได้กำหนดวิสัยทัศน์เพื่อเป็น ""ธนาคารชั้นนำแห่งภูมิภาคเพื่อความยั่งยืน"" โดยมุ่งเน้นการพัฒนาและขยายตัวในระดับภูมิภาคผ่านกลุ่มงานธุรกิจอาเซียน (ASEAN Business Group) ที่ได้รับการจัดตั้งขึ้นเพื่อสนับสนุนเป้าหมายดังกล่าว นอกจากนี้ยังมีการปรับโครงสร้างองค์กรให้มีประสิทธิภาพและสอดคล้องกับแนวทางปฏิบัติที่ดี (Best Practice) ของธนาคาร เพื่อเสริมสร้างความแข็งแกร่งและความยั่งยืนในระยะยาว",ธนาคารกำหนดวิสัยทัศน์เพื่อเป็น 'ธนาคารชั้นนำแห่งภูมิภาคเพื่อความยั่งยืน' และได้มีการจัดตั้ง 'กลุ่มงานธุรกิจอาเซียน (ASEAN Business Group)' ขึ้นมาเพื่อมุ่งเน้นการพัฒนาและสนับสนุนการขยายตัวในระดับภูมิภาค,0.9999999999,1.0,0.8888888888888888,0.5557186691723801,0.6752210820226019,0.5438052705056504
เป้าหมายการสนับสนุนทางการเงินของธนาคารสำหรับโครงการธุรกิจเพื่อสังคมและความยั่งยืน (SSF) ในอนาคต ถูกปรับเป้าหมายไว้ที่ยอดเงินเท่าไร และตั้งเป้าให้สำเร็จภายในปีใด?,"['ความก้าวหน้าด้านการเงินเพื่อความยั่งยืนขององค์กรในปีนี้ถือว่าประสบความสำเร็จอย่างมาก โดยเฉพาะการสนับสนุนทางการเงินให้แก่โครงการธุรกิจเพื่อสังคมและความยั่งยืน (SSF) ที่มียอดอนุมัติทะลุเป้าหมาย 100,000 ล้านบาทไปแล้วตั้งแต่ต้นปี พ.ศ. 2567 ซึ่งถือเป็นการบรรลุผลเร็วกว่ากำหนดการเดิมที่วางไว้ คณะกรรมการบริหารจึงได้มีมติทบทวนและปรับเพิ่มเป้าหมายใหม่ โดยตั้งเป้ายอดการสนับสนุนทางการเงินแก่โครงการ SSF ให้ขึ้นไปถึง 250,000 ล้านบาท และยังคงกำหนดกรอบเวลาให้สำเร็จภายในปี พ.ศ. 2573 เช่นเดิม']","ในปี พ.ศ. 2567, ธนาคารกรุงศรีอยุธยาได้บรรลุเป้าหมายในการสนับสนุนทางการเงินให้แก่โครงการธุรกิจเพื่อสังคมและความยั่งยืน (SSF) เป็นจำนวนทั้งสิ้น 100,000 ล้านบาท ซึ่งเป็นผลสัมฤทธิ์ก่อนกำหนดจากเป้าหมายเดิมที่กำหนดให้แล้วเสร็จภายในปี พ.ศ. 2573 และธนาคารได้มีการปรับเพิ่มเป้าหมายใหม่ในการสนับสนุนทางการเงินแก่โครงการ SSF เป็นจำนวน 250,000 ล้านบาท ภายในปี พ.ศ. 2573.","ธนาคารได้ปรับเพิ่มเป้าหมายใหม่ในการสนับสนุนทางการเงินเป็นจำนวน 250,000 ล้านบาท โดยตั้งเป้าหมายให้สำเร็จภายในปี พ.ศ. 2573",0.9999999999,1.0,0.5714285714285714,0.6612632962874626,0.9219233969203651,0.6590522778015199
ในช่วงไตรมาส 2 ถึงไตรมาส 4 ของปี 2567 ธนาคารจัดทำมาตรการช่วยเหลือรวดเร็วอะไรบ้างเพื่อลดภาระให้กับลูกค้ารายย่อยทุกกลุ่มในสภาวะเศรษฐกิจซบเซา?,['สืบเนื่องจากตัวเลข GDP และสภาวะเศรษฐกิจที่ซบเซากว่าที่คาดการณ์ไว้ ส่งผลกระทบต่อสภาพคล่องของภาคครัวเรือน คณะกรรมการจึงได้อนุมัติชุดมาตรการช่วยเหลือรวดเร็ว (Fast-track relief measures) สำหรับบังคับใช้ในช่วงไตรมาส 2 ถึงไตรมาส 4 ของปี 2567 โดยมีจุดประสงค์หลักเพื่อลดภาระทางการเงินให้กับลูกค้ารายย่อยทุกกลุ่มที่ได้รับผลกระทบจากสถานการณ์เศรษฐกิจ มาตรการสำคัญที่ถูกนำมาใช้ได้แก่ การขยายเวลาผ่อนชำระสินเชื่อ และการปรับลดอัตราดอกเบี้ยเป็นกรณีพิเศษ'],ในปี พ.ศ. 2567 ธนาคารได้มีมาตรการช่วยเหลือลูกค้ารายย่อยหลายอย่าง เพื่อลดภาระทางการเงินในสภาวะเศรษฐกิจที่ซบเซา โดยเฉพาะมาตรการลดดอกเบี้ยและขยายเวลาผ่อนชำระสำหรับลูกค้าที่ได้รับผลกระทบจากสถานการณ์เศรษฐกิจ,ธนาคารได้ออกมาตรการลดดอกเบี้ยและขยายเวลาผ่อนชำระเพื่อช่วยเหลือและลดภาระทางการเงินสำหรับลูกค้ารายย่อยที่ได้รับผลกระทบจากสถานการณ์เศรษฐกิจ,0.9999999999,1.0,1.0,0.8220939166815716,0.5777643823583198,0.8111077622562467
ผลตอบแทนต่อสินทรัพย์ (ROA) ของธนาคารในปี 2566 มีค่าเท่าไร?,['รายงานสรุปผลการดำเนินงานประจำปี 2566: ธนาคารยังคงรักษาระดับฐานะทางการเงินที่แข็งแกร่งท่ามกลางความผันผวนของตลาดโลก โดยมีรายได้ดอกเบี้ยสุทธิเติบโต 5% เมื่อเทียบกับปีก่อนหน้า ขณะที่อัตราส่วนสินเชื่อด้อยคุณภาพ (NPL) ลดลงมาอยู่ในเกณฑ์ที่ควบคุมได้ และสำหรับอัตราส่วนทางการเงินที่สำคัญ พบว่าผลตอบแทนต่อส่วนผู้ถือหุ้น (ROE) อยู่ที่ระดับ 8.5% ส่วนผลตอบแทนต่อสินทรัพย์ (ROA) ปิดตัวเลขในปี 2566 อยู่ที่ 1.22% ซึ่งเป็นไปตามเป้าหมายที่วางไว้'],ผลตอบแทนต่อสินทรัพย์ (ROA)ในปี 2566 เท่ากับ 1.22%,1.22%,0.9999999999,1.0,1.0,0.7078494956007848,0.7860884158410234,0.9465221039602558
กำไรสุทธิต่อหุ้น ในปี 2563 ถึงปี 2565 มีค่าเท่าไรบ้างในแต่ละปี?,"['สถิติข้อมูลทางการเงินสำคัญ 5 ปีย้อนหลัง: กำไรสุทธิของธนาคารมีการปรับตัวขึ้นลงตามวงจรเศรษฐกิจ โดยสะท้อนผ่านตัวเลขกำไรสุทธิต่อหุ้น (EPS) ในแต่ละรอบปีบัญชี ดังนี้ ปี พ.ศ. 2562 อยู่ที่ 3.45 บาท, ปี พ.ศ. 2563 ซึ่งเป็นช่วงที่ได้รับผลกระทบจากโควิด-19 กำไรสุทธิต่อหุ้นปรับลดลงมาอยู่ที่ 3.13 บาท, ปี พ.ศ. 2564 ธุรกิจเริ่มฟื้นตัวทำให้ตัวเลขขยับขึ้นไปที่ 4.59 บาท, และสำหรับปี พ.ศ. 2565 ตัวเลขกำไรสุทธิต่อหุ้นอยู่ที่ 4.18 บาท']","กำไรสุทธิต่อหุ้น (EPS) ในช่วงปี พ.ศ. 2563 ถึง 2565 มีค่าดังต่อไปนี้:
- ปี พ.ศ. 2563: 3.13 บาท
- ปี พ.ศ. 2564: 4.59 บาท
- ปี พ.ศ. 2565: 4.18 บาท","ปี พ.ศ. 2563 มีค่า 3.13 บาท, ปี พ.ศ. 2564 มีค่า 4.59 บาท และปี พ.ศ. 2565 มีค่า 4.18 บาท",0.9999999999,1.0,1.0,0.468191619716756,0.9614631537978624,0.9903657884494657
จำนวนหุ้นสามัญที่ธนาคารถือใน บริษัทหลักทรัพย์จัดการกองทุน กรุงศรี จำกัด มีจำนวนกี่หุ้น?,"[""หมายเหตุประกอบงบการเงิน - เงินลงทุนในบริษัทย่อยและบริษัทร่วม: กลุ่มธุรกิจบริหารจัดการความมั่งคั่งและการลงทุนของธนาคารดำเนินการผ่าน 'บริษัทหลักทรัพย์จัดการกองทุน กรุงศรี จำกัด' ซึ่งทำหน้าที่บริหารจัดการกองทุนรวมและกองทุนส่วนบุคคล โดยบริษัทนี้ถือเป็นบริษัทย่อยที่ธนาคารมีอำนาจควบคุม ณ วันสิ้นงวดบัญชี ธนาคารมีจำนวนหุ้นสามัญที่ถือครองในบริษัทแห่งนี้รวมทั้งสิ้น 3,500,000 หุ้น มูลค่าเงินลงทุนสะท้อนตามวิธีราคาทุนในงบการเงินเฉพาะกิจการ""]","จำนวนหุ้นสามัญที่ธนาคารถือครองในบริษัทหลักทรัพย์จัดการกองทุน กรุงศรี จำกัด มีจำนวน 3,500,000 หุ้น","3,500,000 หุ้น",0.9999999999,1.0,1.0,0.9974227573229973,0.926594476139737,0.9816486190349343
ในช่วงปี 2563 ถึง 2565 มูลค่าตามบัญชีต่อหุ้นของธนาคารปรับตัวเพิ่มขึ้นทุกปีหรือไม่ และในปี 2566 มีมูลค่าเท่าไร?,['จากการที่ธนาคารสามารถบริหารจัดการต้นทุนและทำกำไรสะสมได้อย่างต่อเนื่อง ทำให้ส่วนของผู้ถือหุ้นเติบโตขึ้นอย่างแข็งแกร่ง ส่งผลให้ตัวเลขมูลค่าตามบัญชีต่อหุ้น (Book Value per Share) มีทิศทางที่ปรับตัวเพิ่มขึ้นทุกปีอย่างชัดเจนตั้งแต่ช่วงปี พ.ศ. 2563 ถึง 2565 และล่าสุดเมื่อปิดงบการเงินประจำปี พ.ศ. 2566 พบว่ามูลค่าตามบัญชีต่อหุ้นได้เติบโตขึ้นไปถึง 50.50 บาทต่อหุ้น สะท้อนให้เห็นถึงมูลค่าพื้นฐานของกิจการที่เพิ่มสูงขึ้น'],ในช่วงปี พ.ศ. 2563 ถึง 2565 มูลค่าตามบัญชีต่อหุ้นของธนาคารเพิ่มขึ้นทุกปี โดยในปี 2566 มีมูลค่าเท่ากับ 50.50 บาท,เพิ่มขึ้นทุกปี โดยในปี พ.ศ. 2566 มีมูลค่าเท่ากับ 50.50 บาท,0.9999999999,1.0,1.0,0.8324721243484242,0.9435096824719983,0.9858774206179995
อัตราส่วนเงินกองทุนขั้นที่ 1 ระหว่างปี 2565 และ ปี 2566 แตกต่างกันกี่เปอร์เซ็นต์?,['ด้านการบริหารความเสี่ยงและเงินกองทุน ธนาคารมีอัตราส่วนเงินกองทุนทั้งสิ้นต่อสินทรัพย์เสี่ยงอยู่ที่ระดับที่แข็งแกร่ง สำหรับอัตราส่วนเงินกองทุนขั้นที่ 1 (Tier 1 Capital Ratio) ซึ่งสะท้อนถึงเงินทุนที่มีคุณภาพสูงสุดนั้น ในปี พ.ศ. 2565 ธนาคารรายงานตัวเลขไว้ที่ 15.93% และด้วยนโยบายการจัดสรรเงินทุนที่มีประสิทธิภาพ ทำให้ ณ สิ้นปี พ.ศ. 2566 อัตราส่วนเงินกองทุนขั้นที่ 1 ขยับเพิ่มขึ้นมาอยู่ที่ 16.12% ซึ่งแสดงให้เห็นถึงการเติบโตและความมั่นคงที่เพิ่มขึ้น'],อัตราส่วนเงินกองทุนขั้นที่ 1 ในปี พ.ศ. 2565 มีค่าเท่ากับ 15.93% และในปี พ.ศ. 2566 มีค่าเท่ากับ 16.12%. ความแตกต่างระหว่างสองปีนี้คือ 0.19% (16.12% - 15.93%).,แตกต่างกัน 0.19% (16.12% ลบด้วย 15.93%),0.9999999999,1.0,1.0,0.5295746560129897,0.8757656448942787,0.7189414112235697
